Size: 512
Style: stroke-width="1" stroke="#b0be93"
Path: h7 m-3.5,0 v-5.5 m0,5.7 -2.5,-3.7 m5,0 -2.5,3.7
7,14.5
32,26.5
58,19.5
80,18.5
104,18.5
130,12.5
151,28.5
169,27.5
214,13.5
233,27.5
245,12.5
278,14.5
304,28.5
323,24.5
352,19.5
379,21.5
403,23.5
423,26.5
448,16.5
467,21.5
506,24.5
-6,24.5
4,47.5
37,53.5
51,38.5
90,53.5
101,41.5
122,49.5
153,46.5
182,49.5
200,40.5
218,49.5
249,44.5
271,46.5
291,38.5
314,50.5
348,51.5
369,42.5
392,44.5
430,54.5
445,39.5
478,51.5
492,37.5
0,64.5
31,75.5
57,68.5
78,64.5
104,71.5
134,75.5
149,63.5
183,67.5
212,69.5
229,74.5
247,67.5
276,68.5
296,73.5
330,60.5
339,79.5
368,67.5
392,76.5
413,69.5
446,63.5
466,74.5
503,75.5
15,91.5
38,101.5
59,96.5
79,86.5
103,96.5
128,100.5
162,91.5
185,89.5
203,87.5
225,102.5
252,89.5
278,96.5
300,96.5
328,93.5
352,97.5
372,89.5
393,98.5
428,99.5
442,84.5
473,97.5
489,86.5
7,109.5
30,121.5
66,116.5
86,113.5
107,122.5
136,124.5
152,117.5
174,112.5
197,116.5
223,123.5
245,113.5
268,115.5
304,117.5
321,121.5
349,128.5
366,118.5
390,122.5
414,114.5
455,113.5
479,119.5
497,126.5
9,136.5
31,145.5
56,145.5
73,136.5
106,144.5
125,137.5
155,142.5
175,139.5
207,136.5
220,151.5
254,141.5
274,137.5
302,137.5
323,141.5
355,151.5
379,140.5
404,143.5
421,133.5
445,133.5
468,141.5
493,149.5
6,164.5
37,165.5
52,175.5
83,158.5
101,169.5
122,173.5
146,168.5
184,161.5
207,170.5
230,171.5
256,159.5
283,165.5
300,164.5
328,168.5
345,179.5
379,163.5
407,163.5
429,159.5
454,177.5
466,160.5
489,172.5
6,186.5
27,187.5
64,192.5
84,187.5
110,197.5
139,192.5
164,182.5
184,187.5
208,191.5
233,193.5
261,179.5
267,198.5
294,190.5
323,193.5
360,198.5
370,183.5
407,184.5
416,198.5
439,187.5
472,189.5
491,192.5
2,210.5
27,208.5
54,212.5
79,215.5
108,222.5
136,224.5
150,215.5
172,207.5
206,214.5
232,217.5
255,222.5
269,221.5
301,207.5
322,224.5
344,209.5
367,220.5
393,209.5
419,222.5
443,219.5
466,211.5
498,215.5
16,246.5
33,231.5
54,239.5
79,242.5
108,246.5
125,234.5
164,232.5
175,245.5
201,240.5
226,235.5
254,243.5
284,241.5
302,228.5
325,242.5
355,248.5
378,237.5
397,242.5
427,243.5
449,246.5
469,239.5
502,239.5
6,260.5
32,260.5
53,263.5
86,263.5
110,267.5
136,272.5
154,257.5
181,269.5
202,258.5
217,268.5
261,270.5
271,259.5
304,263.5
326,271.5
341,257.5
373,264.5
400,272.5
428,262.5
448,273.5
477,262.5
493,261.5
12,287.5
32,295.5
63,288.5
86,288.5
108,287.5
137,295.5
159,296.5
171,283.5
205,293.5
226,283.5
244,284.5
269,286.5
293,294.5
316,288.5
344,290.5
380,289.5
402,298.5
428,282.5
437,299.5
475,294.5
491,286.5
4,314.5
30,318.5
51,308.5
72,310.5
103,316.5
126,309.5
147,321.5
180,317.5
202,311.5
228,312.5
247,318.5
273,319.5
290,318.5
324,307.5
352,319.5
370,308.5
389,317.5
424,310.5
452,310.5
477,313.5
500,308.5
5,341.5
22,334.5
47,342.5
81,344.5
95,335.5
122,344.5
154,343.5
184,337.5
207,341.5
228,345.5
252,342.5
281,340.5
303,328.5
320,343.5
351,336.5
377,343.5
406,336.5
428,342.5
448,342.5
470,333.5
492,347.5
5,367.5
31,358.5
66,371.5
70,356.5
99,364.5
128,365.5
151,360.5
177,356.5
198,369.5
233,367.5
255,372.5
271,359.5
296,358.5
328,356.5
349,365.5
380,367.5
403,362.5
427,363.5
447,369.5
469,357.5
496,371.5
11,395.5
34,385.5
52,382.5
75,396.5
111,391.5
133,390.5
155,394.5
171,380.5
209,389.5
234,384.5
255,397.5
275,389.5
306,380.5
327,382.5
353,397.5
367,386.5
390,386.5
429,387.5
455,399.5
467,383.5
495,391.5
15,419.5
38,406.5
52,417.5
89,412.5
110,409.5
130,420.5
152,415.5
187,399.5
195,415.5
225,414.5
255,416.5
279,410.5
299,403.5
321,407.5
340,418.5
382,411.5
403,404.5
426,408.5
439,416.5
473,414.5
494,409.5
4,431.5
34,438.5
57,445.5
78,427.5
97,438.5
136,438.5
160,435.5
178,437.5
207,430.5
224,443.5
260,436.5
284,429.5
305,441.5
330,442.5
353,429.5
369,430.5
398,438.5
423,436.5
452,440.5
473,434.5
495,440.5
8,462.5
31,456.5
46,471.5
85,461.5
103,463.5
133,460.5
157,457.5
181,460.5
199,462.5
229,460.5
250,450.5
280,463.5
296,461.5
322,463.5
354,459.5
380,464.5
396,452.5
434,464.5
454,466.5
479,463.5
497,457.5
3,486.5
35,487.5
64,470.5
75,482.5
103,489.5
124,481.5
157,486.5
182,491.5
200,490.5
222,488.5
242,478.5
263,479.5
300,486.5
333,488.5
354,484.5
377,485.5
402,480.5
417,473.5
439,488.5
474,480.5
496,485.5
15,505.5
38,515.5
38,3.5
59,511.5
83,511.5
103,510.5
136,500.5
157,505.5
173,516.5
173,4.5
196,517.5
196,5.5
225,507.5
260,513.5
260,1.5
274,498.5
294,506.5
321,505.5
345,510.5
372,508.5
402,504.5
421,513.5
421,1.5
453,504.5
478,518.5
478,6.5
490,506.5
